municipio_id,comarca_id,subsecao_id
13277.0,13277.0,13897.0
13285.0,13285.0,13897.0
13293.0,15679.0,15679.0
13307.0,13161.0,13897.0
13315.0,13315.0,14478.0
13323.0,14273.0,14290.0
13331.0,13331.0,14478.0
13340.0,13340.0,13838.0
13358.0,13358.0,14478.0
13366.0,13315.0,14117.0
13374.0,13374.0,14478.0
13382.0,15270.0,15270.0
13390.0,13390.0,14478.0
13404.0,13404.0,15598.0
13412.0,13412.0,13897.0
13420.0,14877.0,13838.0
13439.0,13439.0,14532.0
13447.0,15458.0,13838.0
13455.0,13455.0,15598.0
13463.0,15270.0,15270.0
13471.0,13471.0,15270.0
13480.0,13480.0,13897.0
13498.0,13498.0,14478.0
13501.0,13501.0,14532.0
13510.0,13510.0,15598.0
13536.0,13536.0,14478.0
13552.0,13552.0,15270.0
13579.0,13579.0,13897.0
13595.0,13595.0,15857.0
13617.0,13617.0,15598.0
13633.0,13633.0,14478.0
13650.0,13650.0,14117.0
13676.0,13676.0,15598.0
13692.0,13692.0,13897.0
13714.0,13714.0,15679.0
13730.0,13730.0,13897.0
13757.0,13757.0,14117.0
13773.0,13773.0,15598.0
13811.0,13811.0,15598.0
13838.0,13838.0,13838.0
13854.0,13854.0,14478.0
13870.0,13870.0,14478.0
13897.0,13897.0,13897.0
13919.0,13919.0,15598.0
13935.0,15156.0,15857.0
13951.0,13951.0,15598.0
13978.0,13633.0,14478.0
13994.0,13994.0,15598.0
14010.0,14010.0,15598.0
14036.0,14974.0,13897.0
14052.0,14052.0,15598.0
14060.0,15920.0,15270.0
14079.0,14079.0,15598.0
14095.0,14095.0,14117.0
14117.0,14117.0,14117.0
14133.0,14133.0,13838.0
14150.0,14150.0,14478.0
14176.0,14176.0,15598.0
14192.0,14192.0,13838.0
14214.0,14214.0,14532.0
14230.0,14230.0,15598.0
14257.0,14419.0,14532.0
14273.0,14273.0,14290.0
14290.0,14290.0,14290.0
14311.0,14311.0,15270.0
14338.0,14338.0,15270.0
14354.0,14354.0,14532.0
14370.0,14354.0,14532.0
14397.0,14397.0,14532.0
14419.0,14419.0,14532.0
14435.0,14435.0,14478.0
14451.0,14451.0,14478.0
14478.0,14478.0,14478.0
14494.0,14494.0,14117.0
14516.0,14516.0,14478.0
14532.0,14532.0,14532.0
14559.0,14559.0,15857.0
14575.0,14575.0,15598.0
14591.0,15792.0,15598.0
14613.0,14613.0,15598.0
14630.0,14630.0,14478.0
14656.0,14656.0,15598.0
14672.0,14672.0,14478.0
14680.0,15873.0,14290.0
14699.0,14699.0,14478.0
14710.0,14710.0,15679.0
14737.0,14737.0,13838.0
14753.0,14753.0,14532.0
14770.0,14770.0,15598.0
14796.0,14796.0,15598.0
14818.0,14818.0,15598.0
14834.0,14834.0,13897.0
14850.0,14850.0,14478.0
14877.0,14877.0,13838.0
14893.0,14893.0,13838.0
14915.0,14915.0,14117.0
14931.0,14931.0,13897.0
14958.0,14958.0,15857.0
14974.0,14974.0,13897.0
14990.0,14818.0,15598.0
15016.0,15377.0,14532.0
15032.0,15032.0,13897.0
15059.0,15059.0,13897.0
15075.0,15075.0,15679.0
15091.0,13595.0,15857.0
15113.0,15113.0,15679.0
15130.0,15237.0,14478.0
15156.0,15156.0,15857.0
15172.0,15172.0,14532.0
