classe_id,classe,classe_accents,classe_sigla
264,IMPUGNACAO DE CREDITO,Impugnação de Crédito,ImpCre
211,EXCECAO DE IMPEDIMENTO,Exceção de Impedimento,Impedi
302,INTERNACAO SEM ATIVIDADES EXTERNAS,Internação sem Atividades Externas,InAtEx
300,INTERNACAO COM ATIVIDADES EXTERNAS,Internação com Atividades Externas,InAtEx
213,EXCECAO DE INCOMPETENCIA DE JUIZO,Exceção de Incompetência de Juízo,IncJui
272,INCIDENTE DE JULGAMENTO DE RECURSO DE REVISTA E DE EMBARGOS REPETITIVOS,Incidente de Julgamento de Recurso de Revista e de Embargos Repetitivos,IncJulgRREmbRep
273,INCIDENTE DE RESOLUCAO DE DEMANDAS REPETITIVAS,Incidente de Resolução de Demandas Repetitivas,IncResDemRept
278,INCIDENTES TRABALHISTAS,Incidentes Trabalhistas,IncTra
277,INCIDENTES,Incidentes,Inced
279,INDULTO,Indulto,Indult
280,INQUERITO,Inquérito,Inq
283,INQUERITO EXTRAJUDICIAL,Inquérito Extrajudicial,InqExt
